PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,AccHR_X,AccHR_Y,AccHR_Z,Gyr_X,Gyr_Y,Gyr_Z,GyrHR_X,GyrHR_Y,GyrHR_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Pressure,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
45254,1231289,1.255691,-0.336581,9.685961,1.283953,-0.515332,-0.11333,,,,-0.008915,0.014699,0.016636,,,,,,,0.00314,-0.000841,0.024215,1,-0.000011,0.000018,0.000021,,0.999955,0.009388,0.001394,0.001076,1.075948,0.158559,0.124739,0.999994,0.002177,-0.002767,-0.002125,0.999822,0.018778,0.002808,-0.018772,0.99982,,,,,,,30.52,,,
45255,1231314,1.128807,-0.130953,9.798399,1.157637,-0.3125,0.003205,,,,0.005639,0.021445,0.028472,,,,-0.154209,-0.124919,0.34859,0.002823,-0.000328,0.024496,1,0.000007,0.000027,0.000036,100259,0.999954,0.009394,0.00142,0.001111,1.076713,0.161493,0.128806,0.999994,0.002248,-0.002819,-0.002195,0.999821,0.018791,0.00286,-0.018785,0.99982,,,,,,,30.52,,,
45256,1231339,0.397422,0.110019,9.749217,0.425896,-0.071867,-0.03935,,,,-0.00591,0.017902,0.034175,,,,,,,0.000995,0.000275,0.024373,1,-0.000007,0.000022,0.000043,,0.999954,0.009387,0.001441,0.001153,1.075827,0.163905,0.133681,0.999993,0.002333,-0.002861,-0.002279,0.999821,0.018776,0.002904,-0.018769,0.99982,,,,,,,30.52,,,
45257,1231364,0.321677,-0.422844,9.492485,0.350882,-0.600376,-0.305845,,,,0.005817,0.013418,0.034418,,,,,,,0.000805,-0.001057,0.023731,1,0.000007,0.000017,0.000043,,0.999954,0.009393,0.001457,0.001195,1.076575,0.16561,0.138514,0.999993,0.002418,-0.00289,-0.002363,0.999821,0.018789,0.002935,-0.018782,0.999819,,,,,,,30.52,,,
45258,1231389,0.215123,0.28913,9.827072,0.244078,0.104907,0.042366,,,,0.003576,0.017449,0.030098,,,,,,,0.000539,0.000723,0.024568,1,0.000004,0.000022,0.000038,,0.999954,0.009397,0.001477,0.001232,1.077046,0.167968,0.142803,0.999992,0.002492,-0.002932,-0.002437,0.99982,0.018797,0.002978,-0.01879,0.999819,,,,,,,30.52,,,
45259,1231414,-0.531344,0.185952,9.762638,-0.501683,0.001018,-0.021744,,,,0.002288,0.02202,0.018834,,,,-0.150377,-0.124452,0.345655,-0.001327,0.000465,0.024407,1,0.000003,0.000028,0.000024,100259,0.999954,0.009399,0.001504,0.001256,1.077327,0.17101,0.145492,0.999992,0.002539,-0.002985,-0.002483,0.99982,0.018802,0.003032,-0.018794,0.999819,,,,,,,30.52,,,
45260,1231439,-0.847243,0.119025,9.512041,-0.818668,-0.061816,-0.272635,,,,-0.002067,0.000993,0.003812,,,,,,,-0.002118,0.000298,0.02378,1,-0.000003,0.000001,0.000005,,0.999954,0.009396,0.001505,0.00126,1.076979,0.171082,0.145973,0.999992,0.002548,-0.002986,-0.002491,0.99982,0.018796,0.003033,-0.018788,0.999819,,,,,,,30.52,,,
45261,1231464,0.163145,0.104523,9.771869,0.192456,-0.079221,-0.016147,,,,0.011718,-0.000772,0.000774,,,,,,,0.000408,0.000261,0.02443,1,0.000015,-0.000001,0.000001,,0.999954,0.00941,0.001503,0.00126,1.078557,0.170846,0.145962,0.999992,0.002548,-0.002982,-0.002491,0.99982,0.018823,0.003029,-0.018816,0.999819,,,,,,,30.52,,,
45262,1231489,0.006753,0.819722,10.112747,0.036171,0.629544,0.338584,,,,-0.004122,0.015659,-0.013322,,,,,,,0.000018,0.00205,0.025282,1,-0.000005,0.00002,-0.000017,,0.999954,0.009404,0.001522,0.001243,1.077906,0.173064,0.144028,0.999992,0.002514,-0.003021,-0.002456,0.99982,0.018812,0.003067,-0.018804,0.999819,,,,,,,30.52,,,
45263,1231514,-0.155508,0.098834,9.610129,-0.126176,-0.081905,-0.177,,,,-0.007495,0.002416,-0.003971,,,,-0.154721,-0.121451,0.352034,-0.000389,0.000248,0.024025,1,-0.000009,0.000003,-0.000005,100255,0.999954,0.009395,0.001525,0.001237,1.076777,0.173361,0.143398,0.999992,0.002503,-0.003026,-0.002445,0.999821,0.018792,0.003072,-0.018785,0.999819,,,,,,,30.53,,,
