PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Pressure,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
16547,4538833,0.251213,-1.38898,9.601851,0.045853,0.004175,0.007876,,,,0.000628,-0.003475,0.024004,1,0.000057,0.000005,0.00001,,0.999966,0.008077,-0.00139,-0.000456,0.925698,-0.158801,-0.053498,0.999996,-0.000934,0.002772,0.000889,0.999869,0.016156,-0.002786,-0.016153,0.999866
16548,4538858,0.110955,-0.08729,9.281245,0.048093,0.013556,0.001375,,,,0.000278,-0.000221,0.023203,1,0.00006,0.000017,0.000002,,0.999966,0.008136,-0.001372,-0.000457,0.932395,-0.156811,-0.053692,0.999996,-0.000937,0.002737,0.000892,0.999867,0.016273,-0.002752,-0.01627,0.999864
16549,4538883,-0.730777,2.205884,9.485991,0.020213,0.00016,0.005018,,,,-0.001827,0.005513,0.023715,1,0.000025,0,0.000006,,0.999966,0.00816,-0.001372,-0.000451,0.93518,-0.156794,-0.053017,0.999996,-0.000925,0.002737,0.000881,0.999866,0.016321,-0.002751,-0.016319,0.999863
16550,4538908,0.255588,-0.300557,9.636031,-0.004037,-0.015236,0.007958,-0.219784,-0.25729,0.420334,0.000638,-0.000751,0.02409,1,-0.000005,-0.000019,0.00001,100632,0.999966,0.008154,-0.001391,-0.000442,0.934491,-0.158989,-0.051957,0.999996,-0.000907,0.002775,0.000861,0.999867,0.016309,-0.002789,-0.016307,0.999863
16551,4538933,0.289831,0.893377,10.035121,0.018261,0.00518,0.009217,,,,0.000725,0.002232,0.025088,1,0.000023,0.000006,0.000012,,0.999965,0.008176,-0.001385,-0.000431,0.936994,-0.158262,-0.05067,0.999996,-0.000884,0.002762,0.000839,0.999866,0.016353,-0.002776,-0.01635,0.999862
16552,4538958,0.610347,-0.125016,9.734348,0.030104,0.011887,0.004264,,,,0.001527,-0.000314,0.024336,1,0.000038,0.000015,0.000005,,0.999965,0.008212,-0.001369,-0.000429,0.941114,-0.156517,-0.050466,0.999996,-0.000881,0.002732,0.000836,0.999865,0.016425,-0.002746,-0.016422,0.999861
16553,4538983,-0.411581,2.117386,9.627316,0.018267,-0.000046,0.004446,,,,-0.001029,0.005292,0.024069,1,0.000023,0,0.000006,,0.999965,0.008234,-0.00137,-0.000424,0.94362,-0.156528,-0.049874,0.999996,-0.00087,0.002732,0.000825,0.999864,0.016468,-0.002746,-0.016466,0.999861
16554,4539008,0.203828,2.111512,9.735245,0.001449,0.002288,0.011272,-0.217396,-0.254824,0.425296,0.00051,0.005279,0.024338,1,0.000002,0.000003,0.000014,100639,0.999965,0.008235,-0.001367,-0.00041,0.943715,-0.156221,-0.048299,0.999996,-0.000843,0.002727,0.000798,0.999864,0.01647,-0.00274,-0.016468,0.999861
16555,4539033,0.176915,2.180855,9.736284,-0.044329,0.011206,0.003525,,,,0.000443,0.005455,0.02434,1,-0.000055,0.000014,0.000004,,0.999966,0.008178,-0.001353,-0.000406,0.937256,-0.154619,-0.047812,0.999996,-0.000834,0.002699,0.00079,0.999866,0.016357,-0.002712,-0.016355,0.999863
16556,4539058,0.152853,-0.663769,9.211299,-0.046094,0.00528,-0.002974,,,,0.000382,-0.001657,0.023028,1,-0.000058,0.000007,-0.000004,,0.999966,0.008119,-0.001346,-0.000413,0.930469,-0.153804,-0.048607,0.999996,-0.000848,0.002684,0.000805,0.999868,0.016239,-0.002698,-0.016237,0.999864
16557,4539083,-0.554532,-0.528595,9.305279,-0.038837,0.002807,0.000367,,,,-0.001386,-0.001319,0.023263,1,-0.000049,0.000004,0,,0.999966,0.00807,-0.001342,-0.000413,0.924798,-0.153397,-0.048592,0.999996,-0.000848,0.002677,0.000805,0.999869,0.01614,-0.002691,-0.016138,0.999866
16558,4539108,-0.226657,-2.571295,9.793613,-0.00003,0.001626,0.003784,-0.216483,-0.251377,0.422319,-0.000566,-0.006428,0.024484,1,0,0.000002,0.000005,100635,0.999966,0.008069,-0.00134,-0.000409,0.924684,-0.153167,-0.048091,0.999996,-0.000839,0.002673,0.000796,0.999869,0.016138,-0.002686,-0.016136,0.999866
16559,4539133,0.280684,-0.875842,9.724556,0.035129,0.007219,0.009748,,,,0.000702,-0.002192,0.024311,1,0.000044,0.000009,0.000012,,0.999966,0.008112,-0.001331,-0.000397,0.929603,-0.152149,-0.046722,0.999996,-0.000815,0.002656,0.000772,0.999868,0.016224,-0.002668,-0.016222,0.999865
16560,4539158,0.007518,0.640925,9.495255,0.046565,0.009405,0.01015,,,,0.000019,0.0016,0.023738,1,0.000058,0.000012,0.000013,,0.999966,0.008168,-0.001319,-0.000389,0.936082,-0.150774,-0.045798,0.999996,-0.000799,0.002631,0.000756,0.999866,0.016337,-0.002644,-0.016335,0.999863
16561,4539183,-0.734008,2.64754,9.396156,-0.015396,-0.001372,0.000506,,,,-0.001835,0.00662,0.02349,1,-0.000019,-0.000002,0.000001,,0.999966,0.008148,-0.001321,-0.000389,0.933768,-0.150966,-0.045773,0.999996,-0.000799,0.002635,0.000756,0.999867,0.016297,-0.002648,-0.016294,0.999864
16562,4539208,0.363382,0.262721,9.678328,0.006484,-0.008029,0.006809,-0.217898,-0.253342,0.423799,0.000908,0.000656,0.024196,1,0.000008,-0.00001,0.000009,100633,0.999966,0.008155,-0.001331,-0.000381,0.934586,-0.152125,-0.044861,0.999996,-0.000783,0.002655,0.00074,0.999867,0.016311,-0.002668,-0.016309,0.999863
16563,4539233,0.05837,0.670275,10.018302,-0.029157,-0.003858,0.00217,,,,0.000146,0.001678,0.025046,1,-0.000036,-0.000005,0.000003,,0.999966,0.008118,-0.001335,-0.000378,0.930301,-0.152677,-0.044604,0.999996,-0.000778,0.002665,0.000735,0.999868,0.016236,-0.002677,-0.016234,0.999865
16564,4539258,0.596672,-0.113641,10.027027,0.032323,0.010148,0.006833,,,,0.001492,-0.000286,0.025068,1,0.00004,0.000013,0.000009,,0.999966,0.008157,-0.001322,-0.000375,0.934744,-0.151188,-0.044218,0.999996,-0.000772,0.002639,0.000729,0.999867,0.016314,-0.002651,-0.016312,0.999863
16565,4539283,-0.238995,1.218192,9.585238,-0.01632,0.00155,0.003045,,,,-0.000597,0.003046,0.023963,1,-0.00002,0.000002,0.000004,,0.999966,0.008135,-0.001321,-0.000372,0.932297,-0.150967,-0.043823,0.999996,-0.000765,0.002635,0.000722,0.999867,0.016271,-0.002647,-0.016269,0.999864
16566,4539308,0.150005,1.86589,9.563427,0.015161,0.010463,0.00597,-0.215512,-0.251873,0.423815,0.000376,0.004664,0.023909,1,0.000019,0.000013,0.000007,100632,0.999966,0.008153,-0.001307,-0.000364,0.934358,-0.149477,-0.042988,0.999996,-0.00075,0.002609,0.000708,0.999867,0.016307,-0.002621,-0.016305,0.999864
16567,4539333,0.015814,1.500951,9.400508,-0.05637,0.003257,0.003286,,,,0.00004,0.003756,0.023501,1,-0.00007,0.000004,0.000004,,0.999966,0.008082,-0.001303,-0.000361,0.926174,-0.149012,-0.042554,0.999996,-0.000743,0.002601,0.000701,0.999869,0.016164,-0.002612,-0.016162,0.999866
16568,4539358,0.160458,-0.181652,9.109676,-0.03778,0.012485,-0.001894,,,,0.000402,-0.000452,0.022774,1,-0.000047,0.000016,-0.000002,,0.999967,0.008033,-0.001287,-0.000366,0.92058,-0.147168,-0.043146,0.999996,-0.000753,0.002569,0.000712,0.999871,0.016066,-0.00258,-0.016065,0.999868
16569,4539383,-0.467076,-1.071911,9.193449,-0.051044,0.00168,-0.000285,,,,-0.001168,-0.002677,0.022984,1,-0.000064,0.000002,0,,0.999967,0.007968,-0.001285,-0.000367,0.91316,-0.14692,-0.043227,0.999997,-0.000754,0.002564,0.000713,0.999873,0.015937,-0.002576,-0.015935,0.99987
16570,4539408,-0.266605,-3.130224,9.561179,-0.006156,0.00286,0.001117,-0.219348,-0.252842,0.422793,-0.000666,-0.007825,0.023903,1,-0.000008,0.000004,0.000001,100632,0.999967,0.00796,-0.001281,-0.000366,0.91217,-0.146507,-0.043105,0.999996,-0.000752,0.002557,0.000712,0.999873,0.01592,-0.002569,-0.015918,0.99987
16571,4539433,0.240491,-1.062491,9.690927,0.043564,0.003467,0.01385,,,,0.000602,-0.002659,0.024227,1,0.000054,0.000004,0.000017,,0.999967,0.008013,-0.001277,-0.000349,0.918297,-0.146036,-0.041158,0.999997,-0.000718,0.002549,0.000677,0.999871,0.016027,-0.00256,-0.016025,0.999868
16572,4539458,-0.02487,-0.208687,9.420562,0.045585,0.009111,0.005717,,,,-0.000062,-0.000524,0.023551,1,0.000057,0.000011,0.000007,,0.999967,0.008068,-0.001266,-0.000346,0.924638,-0.144692,-0.040853,0.999997,-0.000713,0.002525,0.000672,0.99987,0.016137,-0.002537,-0.016135,0.999867
16573,4539483,-0.64958,2.27784,9.398052,0.009393,-0.001675,0.004227,,,,-0.001624,0.005694,0.023495,1,0.000012,-0.000002,0.000005,,0.999967,0.008079,-0.001268,-0.000341,0.925873,-0.144936,-0.040296,0.999997,-0.000703,0.00253,0.000662,0.999869,0.016159,-0.002541,-0.016157,0.999866
16574,4539508,0.167539,-0.428989,9.474621,0.013105,-0.009455,0.007067,-0.212177,-0.249423,0.423341,0.000418,-0.001073,0.023687,1,0.000016,-0.000012,0.000009,100633,0.999966,0.008095,-0.001279,-0.000333,0.92764,-0.1463,-0.03935,0.999997,-0.000687,0.002553,0.000645,0.999869,0.01619,-0.002564,-0.016188,0.999866
16575,4539533,0.059891,1.186325,10.154219,0.009517,0.00084,0.007334,,,,0.00015,0.002965,0.025386,1,0.000012,0.000001,0.000009,,0.999966,0.008106,-0.001278,-0.000324,0.928892,-0.146191,-0.038342,0.999997,-0.000669,0.002552,0.000628,0.999868,0.016211,-0.002562,-0.01621,0.999865
16576,4539558,0.683775,0.103531,9.992799,0.031606,0.010014,0.00967,,,,0.00171,0.000257,0.024982,1,0.00004,0.000013,0.000012,,0.999966,0.008143,-0.001266,-0.000315,0.933229,-0.144727,-0.03728,0.999997,-0.000651,0.002526,0.000609,0.999867,0.016287,-0.002536,-0.016286,0.999864
16577,4539583,-0.280936,2.386613,9.657681,0.001619,0.002629,0.005343,,,,-0.000702,0.005966,0.024144,1,0.000002,0.000003,0.000007,,0.999966,0.008145,-0.001262,-0.000309,0.933351,-0.144357,-0.036553,0.999997,-0.000638,0.00252,0.000597,0.999867,0.016289,-0.00253,-0.016288,0.999864
16578,4539608,0.198413,1.969049,9.506896,0.004027,-0.00177,0.006212,-0.215037,-0.250884,0.425795,0.000496,0.004922,0.023767,1,0.000005,-0.000002,0.000008,100633,0.999966,0.008149,-0.001265,-0.000301,0.933817,-0.144619,-0.035712,0.999997,-0.000623,0.002524,0.000582,0.999867,0.016297,-0.002534,-0.016296,0.999864
